iter	MultiRMSE
0	7.448761922
1	7.384742722
2	7.323246586
3	7.252437492
4	7.192499409
5	7.145119945
6	7.10284249
7	7.073944113
8	7.040455726
9	7.006075235
10	6.984935942
11	6.953034915
12	6.927069084
13	6.909001367
14	6.894558523
15	6.874259898
16	6.858167851
17	6.843422333
18	6.825910302
19	6.816305618
20	6.803842943
21	6.786100876
22	6.77451302
23	6.765686669
24	6.758843105
25	6.741267303
26	6.728515617
27	6.717016595
28	6.709785219
29	6.699148504
30	6.690657804
31	6.687630726
32	6.683005663
33	6.675993863
34	6.665825766
35	6.661590809
36	6.659499025
37	6.639389431
38	6.631972982
39	6.628664537
40	6.623222473
41	6.616128111
42	6.590036764
43	6.58331966
44	6.562160652
45	6.559545344
46	6.556639462
47	6.548873421
48	6.539320935
49	6.529620054
50	6.528464043
51	6.524455514
52	6.518828745
53	6.515538987
54	6.511072324
55	6.507400467
56	6.500322559
57	6.491537182
58	6.490547688
59	6.480757831
60	6.471778959
61	6.469056726
62	6.464056075
63	6.462355991
64	6.455553274
65	6.454102988
66	6.449926079
67	6.439184802
68	6.43825254
69	6.434679867
70	6.427115978
71	6.425053446
72	6.423951114
73	6.413712519
74	6.40837763
75	6.404978547
76	6.40043392
77	6.398258047
78	6.396596223
79	6.391588282
80	6.388781524
81	6.386498316
82	6.383231765
83	6.38045156
84	6.378296798
85	6.370290306
86	6.366118864
87	6.363444772
88	6.362637107
89	6.359894601
90	6.357279425
91	6.354154204
92	6.350966352
93	6.348941299
94	6.348314764
95	6.341936174
96	6.340159743
97	6.339515653
98	6.336104351
99	6.331165589
