iter	Passed	Remaining
0	197	19585
1	372	18246
2	545	17625
3	713	17112
4	877	16670
5	1036	16238
6	1196	15898
7	1357	15616
8	1513	15304
9	1679	15112
10	1841	14902
11	2003	14695
12	2171	14530
13	2329	14310
14	2486	14091
15	2651	13918
16	2812	13730
17	2973	13543
18	3129	13342
19	3291	13167
20	3452	12986
21	3614	12815
22	3779	12653
23	3942	12485
24	4110	12331
25	4268	12148
26	4431	11981
27	4590	11804
28	4758	11650
29	4924	11490
30	5089	11329
31	5254	11165
32	5420	11004
33	5583	10838
34	5742	10665
35	5904	10496
36	6067	10331
37	6229	10163
38	6392	9998
39	6552	9828
40	6710	9657
41	6869	9486
42	7038	9329
43	7196	9159
44	7360	8996
45	7520	8828
46	7683	8664
47	7843	8497
48	8003	8330
49	8165	8165
50	8324	7998
51	8485	7832
52	8657	7677
53	8821	7514
54	8977	7345
55	9143	7184
56	9303	7018
57	9465	6854
58	9623	6687
59	9784	6523
60	9954	6364
61	10117	6201
62	10289	6043
63	10451	5879
64	10613	5715
65	10776	5551
66	10943	5390
67	11104	5225
68	11264	5060
69	11432	4899
70	11591	4734
71	11755	4571
72	11921	4409
73	12088	4247
74	12257	4085
75	12427	3924
76	12585	3759
77	12742	3594
78	12904	3430
79	13061	3265
80	13226	3102
81	13402	2942
82	13569	2779
83	13734	2616
84	13899	2452
85	14062	2289
86	14222	2125
87	14381	1961
88	14543	1797
89	14704	1633
90	14867	1470
91	15023	1306
92	15189	1143
93	15353	980
94	15521	816
95	15684	653
96	15846	490
97	16008	326
98	16168	163
99	16324	0
